matrix,row,col
S,8404,13094
I,J,V
3720.0,144.0,1.0
4243.0,144.0,-1.0
4371.0,144.0,1.0
4378.0,144.0,-1.0
1983.0,145.0,-1.0
3518.0,145.0,-1.0
3526.0,145.0,1.0
3720.0,145.0,1.0
4371.0,145.0,1.0
4378.0,145.0,-1.0
4493.0,145.0,-1.0
3518.0,146.0,-1.0
3526.0,146.0,2.0
3720.0,146.0,-1.0
4243.0,146.0,1.0
4371.0,146.0,1.0
4378.0,146.0,-1.0
4493.0,146.0,-1.0
3518.0,147.0,-1.0
3720.0,147.0,-1.0
4371.0,147.0,1.0
4378.0,147.0,-1.0
4793.0,147.0,1.0
2901.0,148.0,1.0
3518.0,148.0,-1.0
4243.0,148.0,-1.0
4371.0,148.0,1.0
4378.0,148.0,-1.0
344.0,149.0,-1.0
2901.0,149.0,1.0
3483.0,149.0,1.0
3518.0,149.0,-1.0
4360.0,149.0,1.0
4366.0,149.0,-1.0
3518.0,150.0,2.0
3526.0,150.0,-1.0
3960.0,150.0,-1.0
4110.0,150.0,1.0
4360.0,150.0,-1.0
4366.0,150.0,1.0
2901.0,151.0,-1.0
2902.0,151.0,1.0
3518.0,151.0,2.0
3526.0,151.0,-1.0
4360.0,151.0,-1.0
4366.0,151.0,1.0
3521.0,152.0,2.0
3529.0,152.0,-1.0
3961.0,152.0,-1.0
4111.0,152.0,1.0
4361.0,152.0,-1.0
4367.0,152.0,1.0
2901.0,153.0,1.0
3518.0,153.0,1.0
4360.0,153.0,-1.0
4366.0,153.0,1.0
4793.0,153.0,-1.0
3518.0,154.0,1.0
3960.0,154.0,1.0
4360.0,154.0,-1.0
4366.0,154.0,1.0
4793.0,154.0,-1.0
2901.0,155.0,-1.0
3518.0,155.0,-1.0
4371.0,155.0,1.0
4378.0,155.0,-1.0
4793.0,155.0,1.0
345.0,156.0,-1.0
2903.0,156.0,1.0
3484.0,156.0,1.0
3521.0,156.0,1.0
3529.0,156.0,-1.0
2902.0,157.0,-1.0
3518.0,157.0,1.0
4360.0,157.0,-1.0
4366.0,157.0,1.0
4889.0,157.0,1.0
3133.0,158.0,-2.0
3136.0,158.0,2.0
3518.0,158.0,2.0
4110.0,158.0,-1.0
4889.0,158.0,1.0
2848.0,159.0,-1.0
4243.0,159.0,1.0
4748.0,159.0,1.0
3301.0,160.0,-1.0
4243.0,160.0,1.0
4748.0,160.0,1.0
3521.0,161.0,-1.0
4111.0,161.0,1.0
4361.0,161.0,1.0
4367.0,161.0,-1.0
4890.0,161.0,-1.0
2122.0,162.0,1.0
2210.0,162.0,-1.0
2642.0,162.0,-1.0
4768.0,162.0,1.0
4794.0,162.0,-1.0
4799.0,162.0,1.0
2001.0,163.0,1.0
3102.0,163.0,-1.0
3107.0,163.0,1.0
4800.0,163.0,-1.0
2125.0,164.0,-1.0
2213.0,164.0,1.0
